State,State_code,Latitude,Longitude
Andaman and Nicobar Islands,AN,11.66702557,92.73598262
Andhra Pradesh,AP,16.499847,80.656016
Arunachal Pradesh,AR,27.10039878,93.61660071
Assam,AS,26.7499809,94.21666744
Bihar,BR,25.78541445,87.4799727
Chandigarh,CH,30.71999697,76.78000565
Chhattisgarh,CT,22.09042035,82.15998734
Dadra and Nagar Haveli,DN,20.26657819,73.0166178
Daman and Diu,DD,20.3846,72.858299
Delhi,DL,28.6699929,77.23000403
Goa,GA,15.491997,73.81800065
Gujarat,GJ,22.258652,71.192383
Haryana,HR,28.45000633,77.01999101
Himachal Pradesh,HP,31.10002545,77.16659704
Jammu and Kashmir,JK,34.29995933,74.46665849
Jharkhand,JH,23.80039349,86.41998572
Karnataka,KA,12.57038129,76.91999711
Kerala,KL,8.900372741,76.56999263
Ladakh,LA,34.152588,77.577049
Lakshadweep,LD,10.56257331,72.63686717
Madhya Pradesh,MP,23.25469,77.40289
Maharashtra,MH,19.25023195,73.16017493
Manipur,MN,24.79997072,93.95001705
Meghalaya,ML,25.57049217,91.8800142
Mizoram,MZ,23.71039899,92.72001461
Nagaland,NL,25.6669979,94.11657019
Odisha,OR,19.82042971,85.90001746
Puducherry,PY,11.93499371,79.83000037
Punjab,PB,31.51997398,75.98000281
Rajasthan,RJ,26.44999921,74.63998124
Sikkim,SK,27.3333303,88.6166475
Tamil Nadu,TN,12.92038576,79.15004187
Telangana,TG,17.123184,79.208824
Tripura,TR,23.83540428,91.27999914
Uttar Pradesh,UP,27.59998069,78.05000565
Uttarakhand,UT,30.32040895,78.05000565
West Bengal,WB,22.58039044,88.32994665
