Timestamp,Input (SP),Response (PV)
0.0,1.71,527883966.0547744
1.0,1.71,1388149916.9167879
2.0,1.71,3756907049.3546686
3.0,1.71,3269981004.1859055
4.0,1.71,2530297040.8930883
5.0,1.71,1816569096.9837077
6.0,1.71,1197749126.3487124
7.0,1.71,704236467.9238495
8.0,1.71,339257192.9503606
9.0,1.71,90024292.26257253
10.0,1.71,-64028802.66089637
11.0,1.71,-145613658.4489814
12.0,1.71,-176091426.5046552
13.0,1.71,-173610044.42168513
14.0,1.71,-152395639.35915124
15.0,1.71,-122790590.09395319
16.0,1.71,-91718039.90225685
17.0,1.71,-63339516.17191607
18.0,1.71,-39749027.864580154
19.0,1.71,-21609119.277191084
20.0,1.71,-8680954.63272146
21.0,1.71,-232862.30329389247
22.0,1.71,4667797.839616354
23.0,1.71,6963339.86163503
24.0,1.71,7494283.757913149
25.0,1.71,6946642.184851311
26.0,1.71,5839114.642601407
27.0,1.71,4534762.8578825295
28.0,1.71,3265483.8762691575
29.0,1.71,2161073.519432991
30.0,1.71,1277631.2265736395
31.0,1.71,622344.3391980655
32.0,1.71,173360.83988137945
33.0,1.71,-105434.09744250333
34.0,1.71,-254270.60804245414
35.0,1.71,-311167.54655172734
36.0,1.71,-308536.5716304023
37.0,1.71,-271860.97108963877
38.0,1.71,-219722.36252425908
39.0,1.71,-164603.49483032068
40.0,1.71,-114046.03894685494
41.0,1.71,-71881.2573239811
42.0,1.71,-39363.244740297254
43.0,1.71,-16116.33441643731
44.0,1.71,-867.4735140599939
45.0,1.71,8029.366455410036
46.0,1.71,12247.78094445236
47.0,1.71,13286.06197303306
48.0,1.71,12371.44126854318
49.0,1.71,10434.163657448658
50.0,1.71,8127.629295357931
51.0,1.71,5871.096331415196
52.0,1.71,3900.110841871954
53.0,1.71,2319.030108747082
54.0,1.71,1142.5052117790456
55.0,1.71,333.93337884068484
56.0,1.71,-170.56368138932356
57.0,1.71,-441.9929780325987
58.0,1.71,-548.0685520036329
59.0,1.71,-546.5417861809966
60.0,1.71,-483.3290304716332
61.0,1.71,-391.4313494652965
62.0,1.71,-293.66899020935045
63.0,1.71,-203.66263873431205
64.0,1.71,-128.35933490035575
65.0,1.71,-69.97162927798226
66.0,1.71,-28.20683703008314
67.0,1.71,-0.6481084450050272
68.0,1.71,15.410878850626137
69.0,1.71,23.23646360829204
70.0,1.71,25.397473447810974
71.0,1.71,23.787707240509988
72.0,1.71,20.349327023016613
73.0,1.71,16.294240416805522
74.0,1.71,12.217891881849463
75.0,1.71,8.81262102548506
76.0,1.71,6.0190941168856895
77.0,1.71,3.8258556959338414
78.0,1.71,2.3549319193629867
79.0,1.71,1.4744837826174544
80.0,1.71,0.90733647631426
81.0,1.71,0.7392807190473294
82.0,1.71,0.6282707167059725
83.0,1.71,0.8522004216460478
84.0,1.71,0.9858161469591583
85.0,1.71,1.1134477986097826
86.0,1.71,1.3163404418630151
87.0,1.71,1.485949577667312
88.0,1.71,1.647884780928789
89.0,1.71,1.637176078281635
90.0,1.71,1.7738822686735327
91.0,1.71,1.7740000292402553
92.0,1.71,1.8087331529749002
93.0,1.71,1.7775806635276952
94.0,1.71,1.7395422396781812
95.0,1.71,1.7330924857917651
96.0,1.71,1.780177707151404
97.0,1.71,1.6549642327774605
98.0,1.71,1.718790782752169
99.0,1.71,1.693987035174802
100.0,1.71,1.7123712003321798
101.0,1.71,1.7423759255722873
102.0,1.71,1.6657733460076656
103.0,1.71,1.7913565659994972
104.0,1.71,1.7845284049971677
